host,model,split,n,n_depth,MAPE_%,median_APE_%,p90_APE_%,max_APE_%
lun-mac,P1 eta_p per host,train,15,0,6.81,5.36,16.58,33.4
lun-mac,P1 eta_p per host,test,4,0,22.68,19.16,44.95,51.25
lun-mac,P2 eta_p per host x quant,train,15,0,4.13,0.0,15.06,25.99
lun-mac,P2 eta_p per host x quant,test,4,0,18.68,14.9,36.9,42.85
mac-studio-m4-max,P1 eta_p per host,train,15,0,7.0,2.17,18.89,36.84
mac-studio-m4-max,P1 eta_p per host,test,5,0,28.04,30.15,46.54,47.19
mac-studio-m4-max,P2 eta_p per host x quant,train,15,0,4.27,0.0,16.14,26.29
mac-studio-m4-max,P2 eta_p per host x quant,test,5,0,22.23,20.11,40.03,42.81
rtx5080,P1 eta_p per host,train,12,0,14.46,9.15,31.38,52.16
rtx5080,P1 eta_p per host,test,2,0,124.51,124.51,207.24,227.93
rtx5080,P2 eta_p per host x quant,train,12,0,5.86,0.0,21.31,25.36
rtx5080,P2 eta_p per host x quant,test,2,0,108.18,108.18,184.89,204.07
